zipcode,regional_median
98001,260000.0
98002,235000.0
98003,266500.0
98004,1150000.0
98005,765475.0
98006,760000.0
98007,555000.0
98008,545000.0
98010,359999.0
98011,470000.0
98014,415000.0
98019,401250.0
98022,279500.0
98023,268750.0
98024,462500.0
98027,571000.0
98028,442500.0
98029,574500.0
98030,282510.0
98031,288200.0
98032,249000.0
98033,678000.0
98034,445000.0
98038,342000.0
98039,1905000.0
98040,993750.0
98042,292500.0
98045,399500.0
98052,615000.0
98053,635000.0
98055,293500.0
98056,380000.0
98058,335000.0
98059,435000.0
98065,500000.0
98070,465000.0
98072,514500.0
98074,645000.0
98075,739999.5
98077,652475.0
98092,309780.0
98102,720000.0
98103,550000.0
98105,675000.0
98106,314250.0
98107,529950.0
98108,345000.0
98109,736000.0
98112,912500.0
98115,564750.0
98116,565500.0
98117,542500.0
98118,366000.0
98119,744975.0
98122,574000.0
98125,425000.0
98126,395750.0
98133,373000.0
98136,489950.0
98144,450000.0
98146,309000.0
98148,274000.0
98155,374000.0
98166,390000.0
98168,237000.0
98177,557000.0
98178,279000.0
98188,265000.0
98198,265000.0
98199,687400.0
